iter	RMSE
190	4.091605124
191	4.082186634
192	4.068084928
193	4.050666332
194	4.040620856
195	4.030681869
196	4.022829037
197	4.012625575
198	4.008461802
199	4.001895267
200	3.986139041
201	3.979492286
202	3.973464525
203	3.967397359
204	3.960218083
205	3.950310519
206	3.943167684
207	3.933845636
208	3.920884117
209	3.913290636
210	3.905207964
211	3.897486292
212	3.885818494
213	3.880472064
214	3.87014892
215	3.864367481
216	3.858667931
217	3.854249406
218	3.843879142
219	3.835222046
220	3.826998097
221	3.821355204
222	3.806249108
223	3.794471289
224	3.7876112
225	3.778215592
226	3.771384408
227	3.757762298
228	3.74612309
229	3.739641892
230	3.725299371
231	3.711788237
232	3.70647462
233	3.700337714
234	3.696296502
235	3.687254295
236	3.680015671
237	3.666975631
238	3.660349202
239	3.653937325
240	3.649906495
241	3.642083995
242	3.63393138
243	3.621933976
244	3.609708429
245	3.60601492
246	3.598676387
247	3.590426947
248	3.582171764
249	3.577572774
250	3.572210359
251	3.564958124
252	3.561452637
253	3.553232687
254	3.545658024
255	3.537436045
256	3.528453908
257	3.521005608
258	3.510515377
259	3.503399489
260	3.499208531
261	3.495340616
262	3.484287533
263	3.476843537
264	3.463801127
265	3.453103173
266	3.448494294
267	3.44528772
268	3.434936763
269	3.429381103
270	3.423009108
271	3.418500831
272	3.406233789
273	3.394988927
274	3.387760905
275	3.38344578
276	3.375186978
277	3.370766343
278	3.36494396
279	3.362421075
280	3.355075837
281	3.34783232
282	3.343110895
283	3.34116825
284	3.331635518
285	3.322055303
286	3.313565452
287	3.308796823
288	3.299198605
289	3.291144691
290	3.2832125
291	3.274762358
292	3.27137923
293	3.260062694
294	3.255759377
295	3.24727716
296	3.238661301
297	3.235958937
298	3.235465068
299	3.231266438
300	3.229109431
301	3.224039609
302	3.219528155
303	3.217422996
304	3.212950886
305	3.207811384
306	3.202269633
307	3.193160688
308	3.18286822
309	3.174104517
310	3.166714701
311	3.164226338
312	3.157166235
313	3.146696419
314	3.143072256
315	3.136204113
316	3.132477138
317	3.121741139
318	3.11172863
319	3.111170607
320	3.105551396
321	3.097552011
322	3.091072286
323	3.089372013
324	3.085290046
325	3.0774973
326	3.07354127
327	3.071435244
328	3.061842155
329	3.051138801
330	3.047776094
331	3.042783283
332	3.042263286
333	3.038340017
334	3.036364372
335	3.035907308
336	3.029680064
337	3.029258055
338	3.027337711
339	3.020657128
340	3.014532716
341	3.012368779
342	3.004683668
343	3.003337255
344	2.99544898
345	2.993266918
346	2.987435879
347	2.982538315
348	2.979046434
349	2.97469805
350	2.97282482
351	2.969310663
352	2.959727506
353	2.949889153
354	2.948757735
355	2.943701832
356	2.941743225
357	2.938096643
358	2.933747075
359	2.930815522
360	2.928500013
361	2.92472716
362	2.917856456
363	2.916280102
364	2.91457907
365	2.908490232
366	2.907505933
367	2.906854541
368	2.899750379
369	2.895330307
370	2.891630508
371	2.886093176
372	2.883959235
373	2.882444198
374	2.878078235
375	2.87499215
376	2.87073624
377	2.870085902
378	2.868029968
379	2.85976354
380	2.856721728
381	2.851882873
382	2.848805397
383	2.843687534
384	2.838327086
385	2.837300807
386	2.835541555
387	2.83223357
388	2.823258562
389	2.822841245
390	2.816399399
391	2.810592713
392	2.810209875
393	2.805843315
394	2.801591434
395	2.798327584
396	2.795931743
397	2.795686445
398	2.795418304
399	2.79491508
400	2.794579904
401	2.787202464
402	2.779765497
403	2.779507642
404	2.772008467
405	2.768974954
406	2.763683799
407	2.762766437
408	2.762501956
409	2.760208645
410	2.755942621
411	2.755535439
412	2.749140424
413	2.747534503
414	2.741406372
415	2.74050561
416	2.734973502
417	2.734702252
418	2.729565533
419	2.725209594
420	2.719674798
421	2.714885351
422	2.714446414
423	2.713207762
424	2.712288766
425	2.707394101
426	2.701172841
427	2.700421208
428	2.697681488
429	2.689858516
430	2.684667847
431	2.683948387
432	2.680965602
433	2.67709384
434	2.671682472
435	2.668650919
436	2.663521644
437	2.658679262
438	2.651607173
439	2.651154173
440	2.646783645
441	2.642420633
442	2.634545166
443	2.630235039
444	2.625665318
445	2.621466445
446	2.619970574
447	2.612371934
448	2.607472977
449	2.605107699
450	2.602100141
451	2.597620622
452	2.591903406
453	2.58890244
454	2.585280189
455	2.584885788
456	2.580758853
457	2.577647045
458	2.571878256
459	2.568506475
460	2.567105618
461	2.566249269
462	2.560922293
463	2.555991604
464	2.555260515
465	2.553502251
466	2.550833266
467	2.546156531
468	2.536840374
469	2.529759585
470	2.529333072
471	2.525834377
472	2.518871866
473	2.517714618
474	2.514666196
475	2.510195716
476	2.503819977
477	2.497923546
478	2.497457206
479	2.492476233
480	2.491016994
481	2.490617258
482	2.4889922
483	2.483122734
484	2.478173666
485	2.475754681
486	2.474908595
487	2.474569356
488	2.471996241
489	2.470906772
490	2.46777219
491	2.462102731
492	2.457116483
493	2.454408053
494	2.454207029
495	2.450924988
496	2.446030063
497	2.442737374
498	2.438867609
499	2.435636597
500	2.434874049
501	2.434085172
502	2.430825577
503	2.425850227
504	2.421309921
505	2.419999907
506	2.414492393
507	2.414325192
508	2.4100257
509	2.404981195
510	2.39957961
511	2.394829337
512	2.394057878
513	2.38752335
514	2.381891477
515	2.380667774
516	2.378371345
517	2.374163327
518	2.373825292
519	2.373638047
520	2.366490911
521	2.366308638
522	2.365947882
523	2.365750521
524	2.363147793
525	2.358641535
526	2.353154253
527	2.35043273
528	2.344464673
529	2.34227147
530	2.338468797
531	2.334082257
532	2.331064096
533	2.328054635
534	2.327428181
535	2.326246731
536	2.32247085
537	2.322384142
538	2.317856794
539	2.314772308
540	2.310183706
541	2.306481534
542	2.301156776
543	2.300037458
544	2.297914656
545	2.290905311
546	2.284632757
547	2.279687629
548	2.278777613
549	2.278051853
550	2.276495731
551	2.27305821
552	2.269627524
553	2.267176105
554	2.26664561
555	2.258958498
556	2.254775705
557	2.250284172
558	2.248578776
559	2.243882951
560	2.237491621
561	2.23070004
562	2.225748997
563	2.225352776
564	2.219718539
565	2.218792174
566	2.217710035
567	2.211756095
568	2.204575605
569	2.203807837
570	2.198534303
571	2.198015093
572	2.195563121
573	2.191479244
574	2.186624292
575	2.186439541
576	2.181854924
577	2.179688056
578	2.179368977
579	2.175352289
580	2.171389741
581	2.170602484
582	2.166472136
583	2.16332747
584	2.161874789
585	2.155582535
586	2.151094091
587	2.150918243
588	2.147196226
589	2.142801351
590	2.142041288
591	2.137521623
592	2.132726222
593	2.132338602
594	2.128552384
595	2.125330966
596	2.12171474
597	2.120079524
598	2.118086115
599	2.115673843
600	2.110014671
601	2.109788399
602	2.107089886
603	2.099946812
604	2.097494294
605	2.095071299
606	2.090130555
607	2.085739326
608	2.081882368
609	2.081750902
610	2.076017094
611	2.073097769
612	2.070151083
613	2.064755054
614	2.063099559
615	2.060925059
616	2.058942133
617	2.055593499
618	2.053948465
619	2.050101652
620	2.044963402
621	2.041802186
622	2.035703657
623	2.029877732
624	2.029403746
625	2.026934718
626	2.026767615
627	2.02603003
628	2.025660543
629	2.023840115
630	2.023712036
631	2.022826385
632	2.018525752
633	2.015317401
634	2.015050668
635	2.011483327
636	2.011302924
637	2.008848554
638	2.004217352
639	1.999743226
640	1.996894283
641	1.994064589
642	1.990977772
643	1.987794735
644	1.985574896
645	1.981435329
646	1.976151457
647	1.973810577
648	1.967449939
649	1.966105166
650	1.962991049
651	1.961638599
652	1.957774916
653	1.95275161
654	1.947758663
655	1.943473696
656	1.942761545
657	1.940216623
658	1.934923361
659	1.93386761
660	1.930825679
661	1.928728489
662	1.926618606
663	1.922611964
664	1.918385576
665	1.913516201
666	1.909277008
667	1.907546458
668	1.904111255
669	1.900206035
670	1.893740727
671	1.891203018
672	1.889551448
673	1.889151667
674	1.883433528
675	1.883140323
676	1.881578633
677	1.877220885
678	1.87334176
679	1.870025797
680	1.865607355
681	1.863934666
682	1.858837537
683	1.856632937
684	1.855755903
685	1.854048798
686	1.849376105
687	1.84478241
688	1.839744314
689	1.835517794
690	1.833370852
691	1.831615495
692	1.831319408
693	1.828784349
694	1.822968714
695	1.821251525
696	1.818366727
697	1.813240203
698	1.80800901
699	1.803990248
700	1.803718916
701	1.799572364
702	1.799399636
703	1.797104403
704	1.796069371
705	1.79566656
706	1.793659688
707	1.790608043
708	1.788152014
709	1.78587913
710	1.78216144
711	1.781874756
712	1.781003387
713	1.778703973
714	1.77419643
715	1.772612265
716	1.770235445
717	1.766771148
718	1.766431102
719	1.762585855
720	1.757654783
721	1.755830729
722	1.751498595
723	1.750437707
724	1.748524723
725	1.748193478
726	1.74528705
727	1.744685957
728	1.742675579
729	1.742333285
730	1.742183938
731	1.738606007
732	1.734273762
733	1.732082777
734	1.73088083
735	1.72653603
736	1.722132188
737	1.721443327
738	1.719592295
739	1.718959898
740	1.718386108
741	1.716153798
742	1.713262747
743	1.709334247
744	1.706878547
745	1.705308675
746	1.702401617
747	1.701550497
748	1.699732787
749	1.698205754
750	1.697593001
751	1.694288165
752	1.693546385
753	1.691018492
754	1.689589122
755	1.68911179
756	1.684566092
757	1.682267692
758	1.682021399
759	1.678017622
760	1.675247725
761	1.673745121
762	1.669217466
763	1.665915326
764	1.665677126
765	1.662847024
766	1.662113614
767	1.659920061
768	1.657938389
769	1.657109619
770	1.656896871
771	1.653617854
772	1.649584453
773	1.649337344
774	1.647849371
775	1.642333658
776	1.639072452
777	1.637329705
778	1.633436449
779	1.630791647
780	1.627713485
781	1.624411455
782	1.620474768
783	1.619380925
784	1.618808477
785	1.617776186
786	1.614790627
787	1.612191856
788	1.611482059
789	1.610734019
790	1.608417144
791	1.606429097
792	1.601638935
793	1.598035134
794	1.597357597
795	1.59584089
796	1.593975214
797	1.593704657
798	1.593462145
799	1.59222589
800	1.59148863
801	1.589606353
802	1.5862979
803	1.583088607
804	1.580639825
805	1.579625892
806	1.577998973
807	1.576698721
808	1.575122346
809	1.573193526
810	1.570184314
811	1.566385143
812	1.564005347
813	1.559952234
814	1.55762425
815	1.553703328
816	1.550903416
817	1.546902386
818	1.544550732
819	1.54308822
820	1.540222124
821	1.538523181
822	1.538272065
823	1.5370031
824	1.534051833
825	1.533419686
826	1.532702149
827	1.53040973
828	1.528784269
829	1.528490583
830	1.525153834
831	1.521251741
832	1.519603657
833	1.519043067
834	1.518449597
835	1.516810517
836	1.51523698
837	1.512089472
838	1.508713496
839	1.50847111
840	1.506009304
841	1.502571883
842	1.501261624
843	1.498454985
844	1.496624963
845	1.496331479
846	1.495761484
847	1.493628557
848	1.490325554
849	1.48911439
850	1.486876712
851	1.485051267
852	1.484306305
853	1.482594981
854	1.480597946
855	1.478469373
856	1.475428196
857	1.473506724
858	1.471610115
859	1.469302252
860	1.468658511
861	1.465563513
862	1.465327623
863	1.461881801
864	1.46159653
865	1.458242114
866	1.457689421
867	1.457526067
868	1.454945346
869	1.454619374
870	1.452357624
871	1.448626314
872	1.44782028
873	1.447325357
874	1.44540526
875	1.444417209
876	1.444129612
877	1.44400337
878	1.442592858
879	1.440023983
880	1.439822047
881	1.437760408
882	1.43580554
883	1.435056502
884	1.43373052
885	1.433658951
886	1.430015778
887	1.42919607
888	1.428674114
889	1.426332614
890	1.423851066
891	1.422085495
892	1.419090575
893	1.417258028
894	1.416646248
895	1.412360834
896	1.409586178
897	1.40875899
898	1.407449579
899	1.406954201
900	1.405901285
901	1.403809271
902	1.402669544
903	1.399862893
904	1.39732164
905	1.394148333
906	1.392672961
907	1.390615828
908	1.388819542
909	1.38722397
910	1.386766046
911	1.385474585
912	1.382362451
913	1.38216654
914	1.38054599
915	1.380341667
916	1.380156748
917	1.376650734
918	1.374537681
919	1.372766212
920	1.3721727
921	1.372086754
922	1.369668257
923	1.369528083
924	1.369268973
925	1.366470336
926	1.36271674
927	1.360973067
928	1.359085063
929	1.357715603
930	1.35668848
931	1.356536895
932	1.355112566
933	1.354021683
934	1.353590542
935	1.352424344
936	1.349802102
937	1.348748403
938	1.346143317
939	1.34342644
940	1.343244872
941	1.342852935
942	1.340639971
943	1.336758725
944	1.334393553
945	1.333992025
946	1.333867743
947	1.330464264
948	1.330288827
949	1.328242812
950	1.327416196
951	1.324207212
952	1.32395737
953	1.32383906
954	1.323072501
955	1.32193805
956	1.321846754
957	1.321806844
958	1.318833203
959	1.317155265
960	1.316251518
961	1.316092862
962	1.315251608
963	1.315122508
964	1.311383646
965	1.307595284
966	1.303950194
967	1.300714226
968	1.300252361
969	1.298011176
970	1.295095003
971	1.294939978
972	1.293495934
973	1.291126669
974	1.288527279
975	1.287107978
976	1.286716803
977	1.284927999
978	1.284779485
979	1.283545943
980	1.280489199
981	1.277294632
982	1.276935229
983	1.276806443
984	1.276646505
985	1.276504032
986	1.27636488
987	1.275627115
988	1.272670664
989	1.271111443
990	1.26952239
991	1.266775652
992	1.265066537
993	1.263820315
994	1.261239487
995	1.259990056
996	1.257796106
997	1.25520961
998	1.254010913
999	1.253872618
